SSOP,TAP,EX,PIMS Punch,SPIE,NR13,SIG,TagLines,TOOLs,TRAINING,CTO,F.Status,Primeiro Description
5143-538,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL DISTRIBUTION PANEL PN-5143532
5143-539,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL NORMAL DISTRIBUTION PANEL PN-5143531
5143-540,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Hull Power Socket-Outlets Transformer 0.69-0.48kV TF-5143504
5143-541,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Hull Power Socket-Outlets Transformer 0.69-0.48kV TF-5143505
5145-501,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143502 CIRCUITS MAIN DECK
5145-502,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143506 CIRCUITS DECK A
5145-503,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143507 CIRCUITS DECK A
5145-504,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143508 CIRCUITS DECK B
5145-505,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143509 CIRCUITS DECK B
5145-506,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143510 CIRCUITS DECK C
5145-507,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,Check,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143511 CIRCUITS DECK C
5145-508,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143512 CIRCUITS DECK D
5145-509,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143513 CIRCUITS DECK D
5145-510,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143514 CIRCUITS DECK E
5145-511,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143515 CIRCUITS DECK E
5145-512,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION NORMAL LIGHTING PANEL - PL-5143516 CIRCUITS DECK F
5145-513,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,Check,NOK,220V HULL NORMAL LIGHTING PANEL - PL-5143501 CIRCUITS
5145-514,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL NORMAL LIGHTING PANEL - PL-5143505 CIRCUITS
5145-515,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL NORMAL LIGHTING PANEL - PL-5143517 CIRCUITS
5145-516,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL NORMAL LIGHTING PANEL - PL-5143518 CIRCUITS
5145-517,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V M-15B NORMAL LIGHTING PANEL - PL-5143115 CIRCUITS
5145-518,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL NORMAL LIGHTING PANEL - PL-5143503 CIRCUITS
5145-519,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL NORMAL LIGHTING PANEL - PL-5143504 CIRCUITS
5145-520,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,Normal Lighting Panel Laboratory PL-8222001
5148-501,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Essential Switchgear 690V PN-5148501
5148-502,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Essential MCC 690V PN-5148502
5148-503,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Essential MCC 690V PN-5148503
5148-504,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Essential MCC 690V PN-5148505
5148-505,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Essential MCC 690V PN-5148506
5148-506,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,HULL ESSENTIAL DISTRIBUTION PANEL 220VAC PN-5148504
5148-507,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Hull Essential Transformer 690-220V TF-5148501A
5148-508,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Hull Essential Transformer 690-220V TF-5148501B
